"Survived","Age","SibSp","Fare","Cabin","Alone","NameSize","NameCount","Pclass_1","Pclass_2","Sex_female","Embarked_C","Embarked_Q","Title_Miss","Title_Mrs","Title_Other","predict_LR","predict_RF"
"1",30,0,65.6344,"0","1",19,3,1,0,1,1,0,1,0,0,0.931456339059079,0.945
"1",25,1,55.4417,"1","0",27,4,1,0,0,1,0,0,0,0,0.437143715535345,0.545
"0",25,1,41.5792,"0","0",38,5,0,1,0,1,0,0,0,0,0.112356671722944,0.04
"0",17,0,7.8958,"0","1",15,3,0,0,0,0,0,0,0,0,0.0965379547702998,0.01
"0",24,0,13.5,"0","1",16,3,0,1,0,0,0,0,0,0,0.146984885801264,0.01
"0",29,0,7.8542,"0","1",19,3,0,0,0,0,0,0,0,0,0.0527242989656595,0.01
"0",28,0,15.2458,"0","1",29,4,0,0,1,1,0,0,1,0,0.738585700238359,0.6
"1",15,0,7.225,"0","1",32,5,0,0,1,1,0,1,0,0,0.851346087227317,0.925
"1",24,1,65,"0","0",18,3,0,1,1,0,0,1,0,0,0.865326407057703,0.935
"1",28,1,65.6344,"1","0",46,6,1,0,1,1,0,0,1,0,0.969438523129988,1
"0",7,2.5,39.6875,"0","0",26,4,0,0,0,0,0,0,0,1,0.0764784386351903,0.02
"1",18,0,7.2292,"0","1",41,6,0,0,1,1,0,0,1,0,0.829507929948284,0.895
"0",25,0,10.5,"0","1",24,4,0,1,0,0,0,0,0,0,0.14030020227726,0.005
"1",30,1,26,"0","0",22,3,0,1,0,0,0,0,0,1,0.525857434507546,0.53
"1",37,1,52.5542,"1","0",29,4,1,0,0,0,0,0,0,0,0.288028548106981,0.43
"0",29,0,8.05,"0","1",20,3,0,0,0,0,0,0,0,0,0.0527242989656595,0.005
"1",15,0,8.0292,"0","1",27,4,0,0,1,0,1,1,0,0,0.851346087227317,0.935
"0",42,0,13,"0","1",20,3,0,1,0,0,0,0,0,0,0.0608381170492552,0.105
"0",28,0,7.8958,"0","1",19,3,0,0,0,1,0,0,0,0,0.0555057789978825,0
"0",16,2,18,"0","0",31,5,0,0,0,0,0,0,0,0,0.0118088743606326,0.03
"1",30,0,12.475,"0","1",24,3,0,0,1,0,0,1,0,0,0.717060675611304,0.835
"1",50,0,10.5,"0","1",19,3,0,1,1,0,0,1,0,0,0.668456238610367,0.94
"0",38,0,7.05,"0","1",31,4,0,0,0,0,0,0,0,0,0.0330004869854947,0.015
"0",19,0,7.8958,"0","1",20,3,0,0,0,0,0,0,0,0,0.0874639801633759,0.005
"1",28,0,65.6344,"0","1",30,4,1,0,1,1,0,0,1,0,0.938079363051389,0.925
"0",2.5,2.5,21.075,"0","0",30,4,0,0,0,0,0,0,0,1,0.0956427709167428,0.245
"1",24,2.5,65.6344,"1","0",30,4,1,0,1,0,0,1,0,0,0.665500464411336,0.875
"0",25,0,26,"0","1",19,3,1,0,0,1,0,0,0,0,0.27056496934528,0.02
"0",22,0,10.5167,"0","1",28,4,0,0,1,0,0,1,0,0,0.796528762704614,0.505
"0",17,1,7.2292,"0","0",20,4,0,0,0,1,0,0,0,0,0.0765345825490425,0.11
"0",21,0,8.4333,"0","1",30,4,0,0,0,0,0,0,0,0,0.0791681660673568,0.005
"1",27,1,15.5,"0","0",18,3,0,0,1,0,1,1,0,0,0.698231209611209,0.81
"1",24,2,27,"0","0",51,7,0,1,1,0,0,0,1,0,0.467363289807469,0.96
"0",20,0,7.8542,"0","1",22,4,0,0,0,0,0,0,0,0,0.0832221360690701,0.005
"1",22,1,29,"0","0",51,7,0,1,1,0,0,0,1,0,0.877498870039908,0.975
"1",33,1,20.575,"0","0",40,6,0,0,1,0,0,0,1,0,0.625458229886422,0.875
"0",45,1,27.9,"0","0",47,6,0,0,1,0,0,0,1,0,0.465197697549339,0.325
"1",36,1,26,"0","0",52,8,0,1,1,0,0,0,1,0,0.769951411248023,0.875
"0",21,0,65.6344,"0","1",20,4,0,1,0,0,0,0,0,0,0.168626417838218,0.05
"0",28,1,65.6344,"0","0",23,4,1,0,0,1,0,0,0,0,0.196406851897712,0.05
"0",34,0,7.8292,"0","1",16,3,0,0,0,0,1,0,0,0,0.0406884987367973,0
"0",27,0,7.75,"0","1",21,3,0,0,0,0,1,0,0,0,0.0584249462172016,0.01
"1",26,0,18.7875,"0","1",27,4,0,0,0,1,0,0,0,0,0.0614876439961697,0.295
"0",21,0,7.925,"0","1",25,4,0,0,0,0,0,0,0,0,0.0791681660673568,0.02
"0",2.5,1,65.6344,"1","0",28,4,1,0,1,0,0,1,0,0,0.992177792781931,0.475
"0",27,0,8.6625,"0","1",16,3,0,0,0,0,0,0,0,0,0.0584249462172016,0.01
"1",24,0,7.1417,"0","1",25,4,0,0,0,0,0,0,0,0,0.0680677156092109,0.205
"0",18,0,7.775,"0","1",30,4,0,0,0,0,0,0,0,0,0.0919003584239345,0.045
"0",40,1,26,"0","0",21,3,0,1,0,0,0,0,0,0,0.0530424618387019,0.005
"0",25,0,7.925,"0","1",31,4,0,0,0,0,0,0,0,0,0.0646998595436445,0.02
"0",39,1,31.275,"0","0",27,4,0,0,0,0,0,0,0,0,0.0244559972291395,0.01
"1",28,0,35.5,"1","1",28,4,1,0,0,0,0,0,0,0,0.459657017145278,0.555
"0",41,0,7.85,"0","1",21,3,0,0,0,0,0,0,0,0,0.0281753022866407,0.005
"0",48,0,50.4958,"1","1",18,3,1,0,0,1,0,0,0,0,0.222916596930618,0.14
"1",18,0,7.8792,"0","1",23,4,0,0,1,0,1,1,0,0,0.829507929948284,0.98
"0",25,0,10.5,"0","1",25,4,0,1,0,0,0,0,0,0,0.14030020227726,0.005
"0",27,1,23.45,"0","0",41,5,0,0,0,0,0,0,0,1,0.356237193927855,0.16
"1",30,0,65.6344,"1","1",20,3,1,0,1,0,0,1,0,0,0.97346421640833,0.99
"1",18,0,8.05,"0","1",26,4,0,0,1,0,0,1,0,0,0.829507929948284,0.875
"0",45,0,29.7,"1","1",24,4,1,0,0,1,0,0,0,0,0.252429613142642,0.06
"1",33,1,65.6344,"1","0",22,4,1,0,1,0,1,1,0,0,0.960274281274213,0.955
"0",28,2.5,65.6344,"0","0",33,5,0,0,1,0,0,1,0,0,0.0995763770843921,0.1
"0",28,0,7.8958,"0","1",21,3,0,0,0,0,0,0,0,0,0.0555057789978825,0
"0",16,0,10.5,"0","1",24,4,0,1,0,0,0,0,0,0,0.210213843602018,0.05
"1",28,0,7.8792,"0","1",29,4,0,0,1,0,1,1,0,0,0.738585700238359,0.97
"1",48,1,65.6344,"1","0",25,4,1,0,0,1,0,0,0,0,0.182001915162801,0.3
"0",20,0,9.5,"0","1",15,3,0,0,0,0,0,0,0,0,0.0832221360690701,0.005
"1",26,0,13.775,"0","1",35,5,0,0,1,0,0,0,1,0,0.759023493840987,0.895
"1",40,0,15.75,"0","1",50,7,0,1,1,0,0,0,1,0,0.776385288119559,0.91
"1",52,1,65.6344,"1","0",50,7,1,0,1,0,0,0,1,0,0.895906356304715,0.995
"1",28,0,7.75,"0","1",28,4,0,0,0,0,1,0,0,0,0.0555057789978825,0.285
"1",28,2,23.25,"0","0",18,3,0,0,1,0,1,1,0,0,0.230330202835526,0.645
"0",26,0,7.775,"0","1",26,4,0,0,0,0,0,0,0,0,0.0614876439961697,0.005
"0",5,2.5,31.3875,"0","0",27,4,0,0,0,0,0,0,0,1,0.0845182730386827,0.04
"1",27,0,8.05,"0","1",27,4,0,0,1,0,0,1,0,0,0.748942828492754,0.745
"0",23,0,10.5,"0","1",30,4,0,1,0,0,0,0,0,0,0.153931037606136,0
"1",40,1,39,"0","0",61,8,0,1,1,0,0,0,1,0,0.729212651190055,0.83
"0",49,0,0,"0","1",19,3,0,0,0,0,0,0,0,0,0.0184233677071587,0.01
"0",10,2.5,46.9,"0","0",27,4,0,0,1,0,0,1,0,0,0.227300632555395,0.065
"0",9,1,15.2458,"0","0",23,3,0,0,1,1,0,1,0,0,0.860231373921336,0.37
"1",3.875,0,14.4,"0","1",39,5,0,0,0,0,0,0,0,1,0.714885924640599,0.75
"0",54.5,0,26.55,"1","1",25,4,1,0,0,0,0,0,0,0,0.167697583380737,0.06
"1",32,0,56.4958,"0","1",13,3,0,0,0,0,0,0,0,0,0.0451498385358038,0.66
"0",25,1,7.925,"0","0",29,4,0,0,1,0,0,1,0,0,0.720630614503365,0.395
"0",27,0,7.8958,"0","1",20,3,0,0,0,0,0,0,0,0,0.0584249462172016,0
"0",27,0,7.225,"0","1",19,3,0,0,0,1,0,0,0,0,0.0584249462172016,0
"0",51,0,7.0542,"0","1",27,4,0,0,0,0,0,0,0,0,0.0165571272190098,0.025
"1",22,1,65.6344,"1","0",33,5,1,0,1,0,0,0,1,0,0.977753757084778,0.995
"1",44,0,57.9792,"1","1",47,7,1,0,1,1,0,0,1,0,0.944874951313942,1
"1",45,1,52.5542,"1","0",48,7,1,0,1,0,0,0,1,0,0.926423395067832,0.995
"0",54.5,1,39,"0","0",33,5,0,1,0,0,0,0,0,0,0.0248373501770981,0.03
"0",28,0,8.1375,"0","1",19,3,0,0,1,0,1,1,0,0,0.738585700238359,0.485
"0",50,0,13,"0","1",23,4,0,1,0,0,0,0,0,0,0.0402492616687396,0
"0",28,0,22.525,"0","1",25,4,0,0,0,0,0,0,0,0,0.0555057789978825,0.015
"0",27,1,22.3583,"0","0",24,4,0,0,0,1,0,0,0,1,0.356237193927855,0.225
"1",18,1,60,"1","0",46,7,1,0,1,0,0,0,1,0,0.982022443040936,0.99
"1",19,0,8.05,"0","1",26,4,0,0,0,0,0,0,0,0,0.0874639801633759,0.11
"0",54.5,0,26.55,"1","1",25,4,1,0,0,0,0,0,0,0,0.167697583380737,0.06
"1",2.5,0,8.5167,"0","1",31,4,0,0,0,1,0,0,0,1,0.729870705693776,0.74
"1",40,0,13,"0","1",25,4,0,1,1,0,0,1,0,0,0.776385288119559,0.965
"0",27,0,8.05,"0","1",17,3,0,0,0,0,0,0,0,0,0.0584249462172016,0.01
"0",21,0,7.7333,"0","1",19,3,0,0,0,0,1,0,0,0,0.0791681660673568,0
"1",32,0,13,"0","1",19,3,0,1,1,0,0,0,1,0,0.842842942965537,0.98
"1",39,1,65.6344,"1","0",52,7,1,0,1,1,0,0,1,0,0.945787797182044,0.99
"0",30,0,13,"0","1",25,4,0,1,0,0,0,0,0,0,0.110607037292696,0
"0",33,0,7.8958,"0","1",20,3,0,0,0,1,0,0,0,0,0.0428637591402908,0.005
"0",28,1,19.9667,"0","0",31,5,0,0,0,0,0,0,0,0,0.0435943234717235,0.01
"1",50,0,26,"0","1",27,4,0,1,1,0,0,0,1,0,0.668456238610367,0.94
"0",15,1,7.2292,"0","0",18,3,0,0,0,1,0,0,0,0,0.084579778566733,0.07
"0",47,0,10.5,"0","1",20,3,0,1,0,0,0,0,0,0,0.0470420915612587,0.02
"0",28,0,22.525,"0","1",24,4,0,0,0,0,0,0,0,0,0.0555057789978825,0.015
"1",24,1,65,"0","0",19,3,0,1,1,0,0,1,0,0,0.865326407057703,0.93
"1",28,0,56.4958,"0","1",15,3,0,0,0,0,0,0,0,0,0.0555057789978825,0.58
"0",34,0,13,"0","1",28,4,0,1,0,0,0,0,0,0,0.0909607027814961,0.005
"1",30,0,6.95,"0","1",38,5,0,0,1,0,1,1,0,0,0.717060675611304,0.865
"0",2.5,0,10.4625,"1","1",26,4,0,0,1,0,0,1,0,0,0.96825247013811,0.475
"0",27,0,8.05,"0","1",18,3,0,0,0,0,0,0,0,0,0.0584249462172016,0
"0",17,0,8.6625,"0","1",19,3,0,0,0,0,0,0,0,0,0.0965379547702998,0.02
"0",27,2,21.6792,"0","0",17,3,0,0,0,1,0,0,0,0,0.00652940019400415,0.01
"1",30,0,13,"0","1",21,3,0,1,1,0,0,1,0,0,0.856711066909282,0.985
"0",30,0,13,"0","1",26,4,0,1,0,0,0,0,0,0,0.110607037292696,0
"0",32,0,9.5,"0","1",19,3,0,0,0,0,0,0,0,0,0.0451498385358038,0.04
"0",28,0,8.05,"0","1",19,3,0,0,0,0,0,0,0,0,0.0555057789978825,0
"0",28,0,8.05,"0","1",39,6,0,0,1,0,0,0,1,0,0.738585700238359,0.51
"0",47,0,25.5875,"1","1",26,4,1,0,0,0,0,0,0,0,0.232473161590929,0.03
"0",30,0,10.5,"0","1",18,3,0,1,0,0,0,0,0,0,0.110607037292696,0.015
"0",33,0,9.5,"0","1",32,5,0,0,0,0,0,0,0,0,0.0428637591402908,0.005
"1",4,1,16.7,"1","0",31,4,0,0,1,0,0,1,0,0,0.956146565051033,0.92
"0",21,0,7.25,"0","1",19,3,0,0,0,0,0,0,0,0,0.0791681660673568,0
"1",34,0,23,"0","1",36,7,0,1,1,0,0,0,1,0,0.827902229050192,0.975
"0",28,1,23.45,"0","0",22,4,0,0,0,0,0,0,0,0,0.0435943234717235,0
"0",28,0,8.6625,"0","1",19,3,0,0,0,0,0,0,0,0,0.0555057789978825,0.005
"0",48,1,34.375,"0","0",39,6,0,0,1,0,0,0,1,0,0.424949224242102,0.215
"0",50,0,28.7125,"1","1",26,4,1,0,1,1,0,1,0,0,0.92521026811492,0.49
"0",38,0,7.25,"0","1",28,4,0,0,0,0,0,0,0,0,0.0330004869854947,0
"1",28,0,7.75,"0","1",24,4,0,0,1,0,1,1,0,0,0.738585700238359,0.97
"0",47,0,34.0208,"1","1",28,4,1,0,0,0,0,0,0,0,0.232473161590929,0.145
"0",28,0,7.25,"0","1",23,4,0,0,0,0,0,0,0,0,0.0555057789978825,0.025
"1",54.5,0,26.55,"1","1",24,3,1,0,1,0,0,1,0,0,0.906426223858123,0.9
"1",33,1,53.1,"1","0",46,6,1,0,1,0,0,0,1,0,0.960274281274213,1
"0",28,1,23.45,"0","0",40,5,0,0,1,0,0,1,0,0,0.686657297253013,0.35
"0",28,0,7.775,"0","1",26,4,0,0,0,0,0,0,0,0,0.0555057789978825,0
"1",13,0,19.5,"0","1",33,4,0,1,1,0,0,1,0,0,0.937743302854281,0.95
"0",42,0,7.65,"1","1",40,6,0,0,0,0,0,0,0,0,0.0690103002668772,0.11
"1",22,0,7.75,"0","1",20,3,0,0,1,0,1,1,0,0,0.796528762704614,0.87
"0",18,0,7.2292,"0","1",48,5,0,0,0,1,0,0,0,0,0.0919003584239345,0.28
"1",4,2,39,"1","0",27,4,0,1,1,0,0,1,0,0,0.875379272760702,0.965
"0",28,1,16.1,"0","0",26,3,0,0,0,0,0,0,0,0,0.0435943234717235,0.005
"0",26,1,20.575,"0","0",23,4,0,0,0,0,0,0,0,0,0.0483582149085963,0.02
"0",41,1,51.8625,"1","0",23,4,1,0,0,0,0,0,0,0,0.245569434075098,0.2
"0",21,0,7.775,"0","1",24,4,0,0,0,0,0,0,0,0,0.0791681660673568,0.02
"1",36,0,12.1833,"0","1",46,6,0,0,1,0,0,0,1,0,0.646529784154378,0.895
"0",49,1,65.6344,"1","0",24,4,1,0,0,1,0,0,0,0,0.174049642717619,0.13
"1",3,1,26,"1","0",26,4,0,1,0,0,0,0,0,1,0.928514833368234,0.9
"0",28,0,7.75,"0","1",19,3,0,0,0,0,1,0,0,0,0.0555057789978825,0
"0",27,1,21,"0","0",56,8,0,1,1,0,0,0,1,0,0.845168526613849,0.47
"0",11,0,18.7875,"0","1",24,5,0,0,0,1,0,0,0,0,0.128959518475614,0.11
"0",20,0,4.0125,"0","1",19,3,0,0,0,1,0,0,0,0,0.0832221360690701,0.045
"1",54.5,1,65.6344,"1","0",48,7,1,0,1,1,0,0,1,0,0.882535895419766,0.995
"1",17,0,10.5,"0","1",19,3,0,1,1,0,0,1,0,0,0.923776816103075,0.955
"1",27,0,7.8792,"0","1",18,3,0,0,1,0,1,1,0,0,0.748942828492754,0.805
"1",7,1,15.2458,"0","0",30,4,0,0,0,1,0,0,0,1,0.621352516849105,0.81
"0",50,0,26,"1","1",24,4,1,0,0,0,0,0,0,0,0.20465462744006,0.03
"0",40,1,9.475,"0","0",46,6,0,0,1,0,0,0,1,0,0.533032302908561,0.285
"0",54.5,0,26.55,"0","1",15,3,1,0,0,0,0,0,0,1,0.461836424273006,0.205
"0",54.5,0,10.5,"0","1",21,4,0,1,0,0,0,0,0,0,0.0317941347629328,0.025
"0",22,0,7.25,"0","1",18,3,0,0,0,0,0,0,0,0,0.0752954565453415,0
"0",34,0,13,"0","1",20,3,0,1,0,0,0,0,0,0,0.0909607027814961,0.045
"1",3.875,1,20.2125,"0","0",27,4,0,0,1,0,0,1,0,0,0.890490735572179,0.875
"1",39,1,55.9,"1","0",41,6,1,0,1,0,0,0,1,0,0.945787797182044,0.985
"1",16,0,8.05,"0","1",30,4,0,0,0,0,0,0,0,0,0.101383451817685,0.215
"1",52,0,30.5,"1","1",30,4,1,0,0,0,0,0,0,1,0.726316800554928,0.565
"1",48,1,52,"1","0",24,4,1,0,0,0,0,0,0,0,0.182001915162801,0.375
"0",28,0,7.225,"0","1",15,3,0,0,0,1,0,0,0,0,0.0555057789978825,0
"0",27,0,26,"0","1",22,4,1,0,0,0,0,0,0,0,0.24965358280878,0.01
"1",2.5,1,11.1333,"0","0",28,4,0,0,1,0,0,1,0,0,0.897568634233986,0.855
"1",28,0,7.7333,"0","1",32,4,0,0,1,0,1,1,0,0,0.738585700238359,0.985
"0",28,0,7.75,"1","1",16,3,0,0,0,0,1,0,0,0,0.136924334302456,0.03
"0",27,0,7.55,"0","1",27,4,0,0,0,0,0,0,0,0,0.0584249462172016,0.02
"0",27,1,16.1,"0","0",25,4,0,0,0,0,0,0,0,0,0.0459174972716188,0
"1",27,0,14.5,"0","1",26,4,0,0,1,0,0,0,1,0,0.748942828492754,0.92
"0",41,2,14.1083,"0","0",23,4,0,0,0,0,0,0,0,0,0.00306142724493031,0
"1",27,1,52,"1","0",36,5,1,0,1,0,0,0,1,0,0.971008374948629,0.99
"1",27,0,31.6833,"0","1",36,4,1,0,1,0,0,0,1,0,0.941162276083866,0.95
"1",20,0,36.75,"0","1",20,3,0,1,1,0,0,1,0,0,0.911472715853324,1
"1",38,0,7.2292,"0","1",47,6,0,0,1,1,0,0,1,0,0.621311215749712,0.84
"0",34,1,21,"0","0",23,4,0,1,0,0,0,0,0,0,0.0720208538720135,0.005
"0",19,0,8.1583,"0","1",24,4,0,0,0,0,0,0,0,0,0.0874639801633759,0.065
"0",29,0,10.5,"0","1",31,4,0,1,0,0,0,0,0,0,0.116067977915369,0
"0",23,0,7.925,"0","1",28,4,0,0,1,0,0,1,0,0,0.787577951373915,0.57
"0",18,1,65.6344,"1","0",42,7,1,0,0,1,0,0,0,0,0.531880928006575,0.285
"0",27,0,15.5792,"0","1",33,4,0,1,0,1,0,0,0,0,0.127694225744811,0.075
"0",26,0,7.8875,"0","1",22,3,0,0,0,0,0,0,0,0,0.0614876439961697,0.005
"0",47,0,52,"1","1",30,4,1,0,0,0,0,0,0,0,0.232473161590929,0.13
"1",21,0,65.6344,"1","1",29,4,1,0,1,0,0,1,0,0,0.983561092859382,0.995
"0",28,0,7.75,"0","1",24,4,0,0,0,0,1,0,0,0,0.0555057789978825,0.14
"1",28,0,7.8292,"0","1",29,4,0,0,1,0,1,1,0,0,0.738585700238359,0.975
"1",22,1,13.9,"0","0",59,8,0,0,1,0,0,0,1,0,0.752249486600927,0.74
"0",36,0,13,"0","1",34,5,0,1,0,0,0,0,0,0,0.0823631649540884,0.02
"1",31,0,65.6344,"1","1",24,4,1,0,1,0,0,1,0,0,0.972023513227775,0.995
"1",54.5,0,35.5,"1","1",35,4,1,0,0,1,0,0,0,1,0.698494014535541,0.715
"0",20,1,9.825,"0","0",23,3,0,0,1,0,0,1,0,0,0.771948866090881,0.365
"0",27,0,0,"0","1",37,5,1,0,0,0,0,0,0,0,0.24965358280878,0.065
"1",36,0,26.2875,"1","1",25,4,1,0,0,0,0,0,0,0,0.355137038605391,0.395
"1",18,1,53.1,"1","0",62,8,1,0,1,0,0,0,1,0,0.982022443040936,0.985
"0",18,1,6.4958,"0","0",25,4,0,0,0,0,0,0,0,0,0.0727805190653461,0.03
"0",16,0,9.5,"0","1",25,4,0,0,0,0,0,0,0,0,0.101383451817685,0.065
"0",2.5,2.5,31.275,"0","0",33,5,0,0,1,0,0,1,0,0,0.306617318185672,0.08
"0",19,1,36.75,"0","0",28,4,0,1,0,0,0,0,0,0,0.149213420362355,0.02
"0",21,0,65.6344,"1","1",25,4,1,0,0,0,0,0,0,0,0.554466951557401,0.145
"0",47,1,14.5,"0","0",46,7,0,0,1,0,0,0,1,0,0.43828201902446,0.275
"1",12,1,11.2417,"0","0",28,3,0,0,0,1,0,0,0,1,0.555652530646166,0.705
"0",30,0,8.6625,"0","1",19,3,0,0,1,0,0,1,0,0,0.717060675611304,0.445
"0",38,1,21,"0","0",15,3,0,1,0,0,0,0,0,0,0.0587753750099214,0.04
"0",28,0,27.7208,"1","1",31,5,1,0,0,1,0,0,0,0,0.459657017145278,0.235
"0",14,0,65,"0","1",27,4,0,1,0,0,0,0,0,0,0.228829155849142,0.05
"1",21,0,7.65,"0","1",32,4,0,0,1,0,0,1,0,0,0.8051957033428,0.86
"1",30,1,15.55,"0","0",51,7,0,0,1,0,0,0,1,0,0.662808522079516,0.885
"0",21,0,7.8208,"0","1",19,3,0,0,0,0,1,0,0,0,0.0791681660673568,0
"0",32,2,65.6344,"0","0",18,3,0,1,0,0,0,0,0,0,0.011677601181514,0.045
"1",44,0,27.7208,"1","1",41,6,1,0,1,1,0,0,1,0,0.944874951313942,0.96
"1",32,0,8.05,"1","1",34,5,0,0,0,0,0,0,0,0,0.113198405636337,0.5
"0",21,0,7.225,"0","1",17,3,0,0,0,1,0,0,0,0,0.0791681660673568,0.01
"1",28,0,7.75,"0","1",40,6,0,0,1,0,1,1,0,0,0.738585700238359,0.93
"0",27,2,21.6792,"0","0",17,3,0,0,0,1,0,0,0,0,0.00652940019400415,0.01
"0",28,0,7.8958,"0","1",19,3,0,0,0,0,0,0,0,0,0.0555057789978825,0
"0",19,0,7.65,"1","1",42,6,0,0,0,0,0,0,0,0,0.205557963221868,0.11
"0",23,0,15.0458,"0","1",18,3,0,1,0,1,0,0,0,0,0.153931037606136,0.01
